iter	Passed	Remaining
0	1	148
1	2	139
2	3	121
3	4	109
4	5	105
5	6	102
6	7	99
7	8	98
8	9	95
9	10	94
10	11	91
11	12	90
12	13	88
13	14	86
14	15	85
15	15	83
16	16	81
17	17	79
18	18	78
19	19	76
20	20	75
21	20	73
22	21	72
23	22	71
24	23	70
25	24	68
26	25	67
27	26	67
28	27	66
29	27	65
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
