iter	Passed	Remaining
0	155	155302
1	157	78358
2	158	52642
3	159	39673
4	160	31942
5	161	26767
6	162	23049
7	163	20256
8	164	18089
9	165	16361
10	166	14942
11	167	13764
12	168	12769
13	170	11982
14	171	11248
15	172	10599
16	173	10027
17	174	9514
18	175	9055
19	176	8637
20	177	8260
21	178	7916
22	179	7605
23	180	7321
24	180	7058
25	181	6817
26	182	6592
27	184	6411
28	185	6218
29	186	6039
30	187	5865
31	188	5704
32	189	5554
33	190	5412
34	191	5279
35	192	5152
36	193	5033
37	194	4920
38	195	4814
39	196	4709
40	197	4616
41	198	4535
42	199	4449
43	200	4365
44	201	4283
45	202	4208
46	203	4134
47	204	4063
48	205	3997
49	207	3933
50	208	3874
51	209	3816
52	210	3759
53	211	3705
54	212	3655
55	214	3607
56	215	3557
57	216	3509
58	217	3462
59	218	3417
60	219	3373
61	220	3330
62	221	3291
63	222	3252
64	223	3215
65	224	3179
66	225	3145
67	227	3114
68	228	3082
69	229	3055
70	231	3023
71	232	2993
72	233	2964
73	234	2935
74	235	2906
75	236	2879
76	237	2852
77	239	2831
78	240	2806
79	242	2789
80	244	2777
81	246	2755
82	246	2727
83	248	2707
84	250	2692
85	251	2671
86	252	2654
87	254	2637
88	255	2618
89	257	2601
90	258	2585
91	260	2567
92	261	2549
93	262	2530
94	263	2512
95	264	2494
96	266	2478
97	267	2466
98	269	2451
99	270	2436
100	272	2422
101	274	2412
102	275	2399
103	276	2385
104	278	2371
105	279	2358
106	280	2344
107	282	2330
108	283	2319
109	285	2306
110	286	2293
111	288	2289
112	290	2278
113	291	2268
114	293	2258
115	295	2249
116	296	2236
117	297	2225
118	299	2214
119	300	2203
120	301	2193
121	303	2186
122	305	2175
123	306	2166
124	307	2154
125	309	2144
126	310	2136
127	312	2127
128	313	2116
129	314	2105
130	315	2095
131	317	2086
132	319	2080
133	320	2071
134	321	2062
135	323	2052
136	324	2042
137	325	2034
138	326	2025
139	328	2017
140	330	2010
141	331	2000
142	333	1995
143	334	1988
144	335	1980
145	337	1971
146	338	1964
147	339	1955
148	340	1946
149	342	1939
150	343	1930
151	344	1922
152	345	1914
153	347	1906
154	348	1901
155	350	1894
156	351	1887
157	352	1880
158	353	1872
159	355	1864
160	355	1854
161	357	1847
162	358	1839
163	359	1832
164	360	1825
165	362	1819
166	363	1813
167	364	1807
168	366	1800
169	367	1794
170	368	1787
171	370	1781
172	371	1775
173	372	1768
174	373	1762
175	375	1756
176	376	1749
177	378	1745
178	379	1741
179	381	1737
180	382	1732
181	384	1729
182	386	1724
183	387	1720
184	389	1716
185	391	1713
186	393	1712
187	395	1708
188	398	1710
189	400	1705
190	401	1700
191	402	1695
192	404	1689
193	405	1684
194	407	1681
195	409	1677
196	410	1672
197	411	1667
198	412	1662
199	414	1656
200	415	1651
201	416	1646
202	418	1641
203	419	1636
204	420	1632
205	422	1629
206	423	1623
207	425	1618
208	426	1613
209	427	1607
210	428	1602
211	429	1597
212	430	1592
213	432	1587
214	433	1583
215	434	1578
216	436	1575
217	438	1572
218	439	1568
219	441	1563
220	442	1559
221	443	1554
222	444	1549
223	445	1544
224	447	1540
225	448	1536
226	450	1532
227	451	1528
228	453	1525
229	454	1520
230	455	1516
231	456	1511
232	457	1507
233	458	1502
234	460	1498
235	461	1493
236	462	1490
237	464	1486
238	465	1482
239	467	1479
240	468	1476
241	469	1472
242	471	1467
243	472	1462
244	473	1458
245	474	1453
246	475	1449
247	476	1446
248	478	1442
249	479	1438
250	480	1433
251	482	1432
252	483	1428
253	485	1424
254	486	1421
255	487	1417
256	489	1414
257	490	1410
258	492	1409
259	494	1406
260	495	1402
261	496	1399
262	498	1396
263	499	1393
264	501	1389
265	502	1386
266	503	1383
267	505	1379
268	506	1375
269	507	1371
270	508	1367
271	509	1364
272	511	1361
273	513	1359
274	514	1355
275	515	1352
276	517	1350
277	518	1346
278	519	1343
279	521	1340
280	522	1337
281	524	1336
282	526	1333
283	528	1332
284	529	1328
285	531	1326
286	532	1323
287	534	1321
288	535	1317
289	536	1314
290	538	1310
291	539	1307
292	540	1304
293	542	1301
294	543	1298
295	544	1295
296	546	1292
297	547	1289
298	548	1285
299	549	1282
300	550	1279
301	551	1275
302	553	1272
303	554	1269
304	555	1266
305	557	1263
306	558	1261
307	560	1258
308	561	1256
309	562	1252
310	563	1249
311	565	1246
312	566	1242
313	567	1240
314	568	1237
315	570	1234
316	571	1231
317	573	1229
318	574	1226
319	576	1224
320	577	1221
321	578	1218
322	579	1215
323	580	1212
324	582	1209
325	583	1206
326	584	1203
327	585	1200
328	587	1198
329	588	1195
330	590	1193
331	591	1190
332	592	1187
333	593	1184
334	595	1181
335	596	1178
336	597	1175
337	598	1172
338	599	1169
339	600	1166
340	602	1164
341	603	1161
342	605	1159
343	606	1156
344	607	1153
345	608	1150
346	610	1148
347	611	1145
348	612	1142
349	613	1139
350	614	1136
351	616	1134
352	617	1132
353	619	1129
354	620	1127
355	621	1124
356	623	1122
357	624	1119
358	625	1116
359	627	1114
360	628	1112
361	629	1109
362	630	1106
363	632	1104
364	634	1103
365	635	1100
366	636	1098
367	637	1095
368	638	1092
369	639	1089
370	641	1086
371	642	1084
372	643	1081
373	644	1078
374	645	1076
375	647	1073
376	648	1071
377	649	1069
378	651	1066
379	652	1064
380	653	1061
381	654	1059
382	655	1056
383	657	1054
384	658	1051
385	659	1049
386	660	1046
387	662	1044
388	663	1042
389	664	1040
390	666	1037
391	667	1034
392	668	1032
393	669	1029
394	670	1027
395	671	1024
396	673	1022
397	674	1019
398	675	1017
399	676	1014
400	678	1012
401	679	1010
402	680	1008
403	681	1005
404	682	1003
405	683	1000
406	684	997
407	686	995
408	687	993
409	688	990
410	689	988
411	691	986
412	692	984
413	693	982
414	695	979
415	696	977
416	697	975
417	698	972
418	699	970
419	700	967
420	702	965
421	703	963
422	704	960
423	705	958
424	706	956
425	707	953
426	709	951
427	710	949
428	711	946
429	712	944
430	713	942
431	714	939
432	715	937
433	717	935
434	718	932
435	719	930
436	720	928
437	721	926
438	723	924
439	724	922
440	725	919
441	726	917
442	727	914
443	728	912
444	729	910
445	731	908
446	732	905
447	733	903
448	734	901
449	735	898
450	736	896
451	737	894
452	739	892
453	740	890
454	741	888
455	742	886
456	743	883
457	745	881
458	746	879
459	747	877
460	748	875
461	749	873
462	751	871
463	752	869
464	753	867
465	755	865
466	756	863
467	757	861
468	758	858
469	759	856
470	760	854
471	762	852
472	763	850
473	764	848
474	765	846
475	766	844
476	768	842
477	769	840
478	771	838
479	772	836
480	773	835
481	775	833
482	777	832
483	779	830
484	780	829
485	782	827
486	785	826
487	786	825
488	788	823
489	790	822
490	792	821
491	793	819
492	795	818
493	797	816
494	799	816
495	801	814
496	803	813
497	805	811
498	806	809
499	808	808
500	809	806
501	811	805
502	814	804
503	816	803
504	818	801
505	819	800
506	821	799
507	823	797
508	825	796
509	826	794
510	829	793
511	831	792
512	833	791
513	835	789
514	836	788
515	838	786
516	840	784
517	841	783
518	844	782
519	846	781
520	849	781
521	851	779
522	853	778
523	855	777
524	858	776
525	860	775
526	862	773
527	863	772
528	865	770
529	867	769
530	869	767
531	871	767
532	874	766
533	876	765
534	878	763
535	880	762
536	882	761
537	884	759
538	886	758
539	888	757
540	890	755
541	892	754
542	894	752
543	896	751
544	898	750
545	901	749
546	904	748
547	906	747
548	908	746
549	909	744
550	911	743
551	913	741
552	915	740
553	917	738
554	919	737
555	921	736
556	923	734
557	925	733
558	928	732
559	930	730
560	933	730
561	935	729
562	937	727
563	939	726
564	941	725
565	943	723
566	945	722
567	947	720
568	949	719
569	951	717
570	953	716
571	955	714
572	959	714
573	961	713
574	963	712
575	965	710
576	967	709
577	969	707
578	971	706
579	974	705
580	976	704
581	978	702
582	981	702
583	984	701
584	986	699
585	987	697
586	988	695
587	990	693
588	991	692
589	993	690
590	995	689
591	997	687
592	998	685
593	1000	683
594	1002	682
595	1003	680
596	1004	678
597	1006	676
598	1008	675
599	1010	673
600	1011	671
601	1013	669
602	1014	668
603	1016	666
604	1017	664
605	1019	662
606	1021	661
607	1023	659
608	1025	658
609	1026	656
610	1028	654
611	1029	652
612	1031	650
613	1032	649
614	1034	647
615	1036	645
616	1038	644
617	1040	643
618	1042	641
619	1044	640
620	1046	638
621	1048	636
622	1049	635
623	1051	633
624	1053	632
625	1055	630
626	1057	628
627	1058	627
628	1059	625
629	1061	623
630	1062	621
631	1064	619
632	1065	618
633	1068	616
634	1069	614
635	1071	613
636	1073	611
637	1075	610
638	1076	608
639	1078	606
640	1079	604
641	1081	602
642	1082	601
643	1084	599
644	1086	597
645	1087	595
646	1088	594
647	1090	592
648	1091	590
649	1093	588
650	1094	586
651	1096	585
652	1098	583
653	1100	582
654	1101	580
655	1103	578
656	1104	576
657	1105	574
658	1107	573
659	1108	571
660	1110	569
661	1111	567
662	1113	566
663	1115	564
664	1117	562
665	1118	560
666	1119	559
667	1121	557
668	1122	555
669	1124	553
670	1125	552
671	1127	550
672	1129	548
673	1131	547
674	1132	545
675	1133	543
676	1135	541
677	1136	539
678	1137	537
679	1139	536
680	1140	534
681	1142	532
682	1143	530
683	1145	529
684	1147	527
685	1148	525
686	1149	523
687	1151	522
688	1152	520
689	1154	518
690	1155	516
691	1157	515
692	1159	513
693	1161	512
694	1162	510
695	1163	508
696	1165	506
697	1167	504
698	1168	503
699	1170	501
700	1172	500
701	1174	498
702	1175	496
703	1177	495
704	1179	493
705	1181	491
706	1182	490
707	1183	488
708	1185	486
709	1187	485
710	1189	483
711	1190	481
712	1192	479
713	1193	478
714	1195	476
715	1196	474
716	1197	472
717	1199	471
718	1201	469
719	1203	467
720	1204	466
721	1206	464
722	1208	462
723	1209	461
724	1210	459
725	1212	457
726	1214	455
727	1215	454
728	1218	452
729	1220	451
730	1221	449
731	1222	447
732	1224	445
733	1225	444
734	1227	442
735	1229	440
736	1230	439
737	1232	437
738	1234	435
739	1236	434
740	1238	432
741	1239	431
742	1241	429
743	1242	427
744	1243	425
745	1245	423
746	1246	422
747	1248	420
748	1249	418
749	1251	417
750	1252	415
751	1253	413
752	1255	411
753	1256	410
754	1258	408
755	1260	406
756	1262	405
757	1263	403
758	1265	401
759	1266	399
760	1267	398
761	1269	396
762	1270	394
763	1271	392
764	1273	391
765	1275	389
766	1276	387
767	1278	386
768	1280	384
769	1281	382
770	1282	381
771	1284	379
772	1285	377
773	1287	375
774	1288	374
775	1289	372
776	1291	370
777	1292	368
778	1294	367
779	1295	365
780	1296	363
781	1298	361
782	1299	360
783	1301	358
784	1302	356
785	1303	355
786	1305	353
787	1306	351
788	1308	349
789	1309	348
790	1310	346
791	1312	344
792	1313	342
793	1314	341
794	1316	339
795	1318	337
796	1319	336
797	1320	334
798	1322	332
799	1324	331
800	1325	329
801	1326	327
802	1328	325
803	1329	324
804	1330	322
805	1332	320
806	1333	318
807	1334	317
808	1336	315
809	1337	313
810	1338	312
811	1340	310
812	1341	308
813	1342	306
814	1343	304
815	1344	303
816	1346	301
817	1347	299
818	1348	298
819	1350	296
820	1351	294
821	1352	292
822	1354	291
823	1355	289
824	1356	287
825	1357	286
826	1358	284
827	1360	282
828	1361	280
829	1362	279
830	1363	277
831	1364	275
832	1366	273
833	1367	272
834	1369	270
835	1370	268
836	1371	267
837	1372	265
838	1373	263
839	1374	261
840	1375	260
